Time,Name,consumo atual,% de limiar,Instâncias atuais,Instâncias máximas
2023-11-02 01:07:43,hpa-server,2%,30%,12,12
2023-11-02 01:07:46,hpa-server,2%,30%,12,12
2023-11-02 01:07:49,hpa-server,2%,30%,12,12
2023-11-02 01:07:52,hpa-server,2%,30%,12,12
2023-11-02 01:07:55,hpa-server,2%,30%,12,12
2023-11-02 01:07:58,hpa-server,2%,30%,12,12
2023-11-02 01:08:01,hpa-server,2%,30%,12,12
2023-11-02 01:08:04,hpa-server,2%,30%,12,12
2023-11-02 01:08:07,hpa-server,2%,30%,12,12
2023-11-02 01:08:11,hpa-server,2%,30%,12,12
2023-11-02 01:08:14,hpa-server,2%,30%,12,12
2023-11-02 01:08:17,hpa-server,2%,30%,12,12
2023-11-02 01:08:20,hpa-server,2%,30%,12,12
2023-11-02 01:08:23,hpa-server,2%,30%,12,12
2023-11-02 01:08:26,hpa-server,2%,30%,12,12
2023-11-02 01:08:29,hpa-server,2%,30%,12,12
2023-11-02 01:08:32,hpa-server,2%,30%,12,12
2023-11-02 01:08:35,hpa-server,2%,30%,12,12
2023-11-02 01:08:38,hpa-server,2%,30%,12,12
2023-11-02 01:08:41,hpa-server,2%,30%,12,12
2023-11-02 01:08:44,hpa-server,2%,30%,12,12
2023-11-02 01:08:47,hpa-server,2%,30%,12,12
2023-11-02 01:08:50,hpa-server,2%,30%,12,12
2023-11-02 01:08:53,hpa-server,2%,30%,12,12
2023-11-02 01:08:56,hpa-server,2%,30%,12,12
2023-11-02 01:08:59,hpa-server,2%,30%,12,12
2023-11-02 01:09:02,hpa-server,2%,30%,12,12
2023-11-02 01:09:05,hpa-server,2%,30%,12,12
2023-11-02 01:09:09,hpa-server,2%,30%,12,12
2023-11-02 01:09:12,hpa-server,2%,30%,12,12
2023-11-02 01:09:15,hpa-server,2%,30%,12,12
2023-11-02 01:09:18,hpa-server,2%,30%,12,12
2023-11-02 01:09:21,hpa-server,2%,30%,12,12
2023-11-02 01:09:24,hpa-server,2%,30%,12,12
2023-11-02 01:09:27,hpa-server,2%,30%,12,12
2023-11-02 01:09:30,hpa-server,2%,30%,12,12
2023-11-02 01:09:33,hpa-server,2%,30%,12,12
2023-11-02 01:09:36,hpa-server,2%,30%,12,12
2023-11-02 01:09:39,hpa-server,2%,30%,12,12
2023-11-02 01:09:42,hpa-server,2%,30%,12,12
2023-11-02 01:09:45,hpa-server,2%,30%,12,12
2023-11-02 01:09:48,hpa-server,2%,30%,12,12
2023-11-02 01:09:51,hpa-server,2%,30%,12,12
2023-11-02 01:09:54,hpa-server,2%,30%,12,12
2023-11-02 01:09:57,hpa-server,2%,30%,12,12
2023-11-02 01:10:00,hpa-server,2%,30%,12,12
2023-11-02 01:10:03,hpa-server,2%,30%,12,12
