Time,Name,consumo atual,% de limiar,Instâncias atuais,Instâncias máximas
2023-11-02 01:53:40,hpa-server,2%,30%,10,12
2023-11-02 01:53:43,hpa-server,2%,30%,10,12
2023-11-02 01:53:46,hpa-server,2%,30%,10,12
2023-11-02 01:53:49,hpa-server,2%,30%,10,12
2023-11-02 01:53:52,hpa-server,2%,30%,10,12
2023-11-02 01:53:55,hpa-server,2%,30%,10,12
2023-11-02 01:53:58,hpa-server,2%,30%,10,12
2023-11-02 01:54:01,hpa-server,2%,30%,10,12
2023-11-02 01:54:05,hpa-server,2%,30%,10,12
2023-11-02 01:54:08,hpa-server,2%,30%,10,12
2023-11-02 01:54:11,hpa-server,2%,30%,10,12
2023-11-02 01:54:14,hpa-server,2%,30%,10,12
2023-11-02 01:54:17,hpa-server,2%,30%,10,12
2023-11-02 01:54:20,hpa-server,2%,30%,10,12
2023-11-02 01:54:23,hpa-server,2%,30%,10,12
2023-11-02 01:54:26,hpa-server,2%,30%,10,12
2023-11-02 01:54:29,hpa-server,2%,30%,10,12
2023-11-02 01:54:32,hpa-server,2%,30%,10,12
2023-11-02 01:54:35,hpa-server,2%,30%,10,12
2023-11-02 01:54:38,hpa-server,2%,30%,10,12
2023-11-02 01:54:41,hpa-server,2%,30%,10,12
2023-11-02 01:54:44,hpa-server,2%,30%,10,12
2023-11-02 01:54:47,hpa-server,2%,30%,10,12
2023-11-02 01:54:50,hpa-server,2%,30%,10,12
2023-11-02 01:54:53,hpa-server,2%,30%,10,12
2023-11-02 01:54:56,hpa-server,2%,30%,10,12
2023-11-02 01:54:59,hpa-server,2%,30%,10,12
2023-11-02 01:55:02,hpa-server,2%,30%,10,12
2023-11-02 01:55:06,hpa-server,2%,30%,10,12
2023-11-02 01:55:09,hpa-server,2%,30%,10,12
2023-11-02 01:55:12,hpa-server,2%,30%,10,12
2023-11-02 01:55:15,hpa-server,2%,30%,10,12
2023-11-02 01:55:18,hpa-server,2%,30%,10,12
2023-11-02 01:55:21,hpa-server,2%,30%,10,12
2023-11-02 01:55:24,hpa-server,2%,30%,10,12
2023-11-02 01:55:27,hpa-server,2%,30%,10,12
2023-11-02 01:55:30,hpa-server,2%,30%,10,12
2023-11-02 01:55:33,hpa-server,2%,30%,10,12
2023-11-02 01:55:36,hpa-server,2%,30%,10,12
2023-11-02 01:55:39,hpa-server,2%,30%,10,12
2023-11-02 01:55:42,hpa-server,2%,30%,10,12
2023-11-02 01:55:45,hpa-server,2%,30%,10,12
2023-11-02 01:55:48,hpa-server,2%,30%,10,12
2023-11-02 01:55:51,hpa-server,2%,30%,10,12
2023-11-02 01:55:54,hpa-server,2%,30%,10,12
2023-11-02 01:55:57,hpa-server,2%,30%,10,12
2023-11-02 01:56:00,hpa-server,2%,30%,10,12
2023-11-02 01:56:03,hpa-server,2%,30%,10,12
2023-11-02 01:56:07,hpa-server,2%,30%,10,12
2023-11-02 01:56:10,hpa-server,2%,30%,10,12
2023-11-02 01:56:13,hpa-server,2%,30%,10,12
2023-11-02 01:56:16,hpa-server,2%,30%,10,12
2023-11-02 01:56:19,hpa-server,2%,30%,10,12
2023-11-02 01:56:22,hpa-server,2%,30%,10,12
2023-11-02 01:56:25,hpa-server,2%,30%,10,12
2023-11-02 01:56:28,hpa-server,2%,30%,10,12
2023-11-02 01:56:31,hpa-server,2%,30%,10,12
2023-11-02 01:56:34,hpa-server,2%,30%,10,12
2023-11-02 01:56:37,hpa-server,2%,30%,10,12
2023-11-02 01:56:40,hpa-server,2%,30%,10,12
2023-11-02 01:56:43,hpa-server,2%,30%,10,12
2023-11-02 01:56:46,hpa-server,2%,30%,10,12
2023-11-02 01:56:49,hpa-server,2%,30%,10,12
2023-11-02 01:56:52,hpa-server,2%,30%,10,12
2023-11-02 01:56:55,hpa-server,2%,30%,10,12
2023-11-02 01:56:58,hpa-server,2%,30%,10,12
2023-11-02 01:57:01,hpa-server,2%,30%,10,12
2023-11-02 01:57:04,hpa-server,2%,30%,10,12
2023-11-02 01:57:08,hpa-server,2%,30%,10,12
2023-11-02 01:57:11,hpa-server,3%,30%,1,12
2023-11-02 01:57:14,hpa-server,3%,30%,1,12
2023-11-02 01:57:17,hpa-server,3%,30%,1,12
2023-11-02 01:57:20,hpa-server,3%,30%,1,12
2023-11-02 01:57:23,hpa-server,3%,30%,1,12
2023-11-02 01:57:26,hpa-server,3%,30%,1,12
2023-11-02 01:57:29,hpa-server,3%,30%,1,12
2023-11-02 01:57:32,hpa-server,3%,30%,1,12
2023-11-02 01:57:35,hpa-server,3%,30%,1,12
2023-11-02 01:57:38,hpa-server,3%,30%,1,12
2023-11-02 01:57:41,hpa-server,3%,30%,1,12
2023-11-02 01:57:44,hpa-server,3%,30%,1,12
2023-11-02 01:57:47,hpa-server,3%,30%,1,12
2023-11-02 01:57:50,hpa-server,3%,30%,1,12
2023-11-02 01:57:53,hpa-server,3%,30%,1,12
2023-11-02 01:57:56,hpa-server,3%,30%,1,12
2023-11-02 01:57:59,hpa-server,3%,30%,1,12
2023-11-02 01:58:02,hpa-server,3%,30%,1,12
2023-11-02 01:58:05,hpa-server,3%,30%,1,12
2023-11-02 01:58:08,hpa-server,2%,30%,1,12
2023-11-02 01:58:12,hpa-server,2%,30%,1,12
2023-11-02 01:58:15,hpa-server,2%,30%,1,12
2023-11-02 01:58:18,hpa-server,2%,30%,1,12
2023-11-02 01:58:21,hpa-server,2%,30%,1,12
2023-11-02 01:58:24,hpa-server,2%,30%,1,12
2023-11-02 01:58:27,hpa-server,2%,30%,1,12
2023-11-02 01:58:30,hpa-server,2%,30%,1,12
2023-11-02 01:58:33,hpa-server,2%,30%,1,12
2023-11-02 01:58:36,hpa-server,2%,30%,1,12
2023-11-02 01:58:39,hpa-server,2%,30%,1,12
2023-11-02 01:58:42,hpa-server,2%,30%,1,12
2023-11-02 01:58:45,hpa-server,2%,30%,1,12
2023-11-02 01:58:48,hpa-server,2%,30%,1,12
2023-11-02 01:58:51,hpa-server,2%,30%,1,12
2023-11-02 01:58:54,hpa-server,2%,30%,1,12
2023-11-02 01:58:57,hpa-server,2%,30%,1,12
2023-11-02 01:59:00,hpa-server,2%,30%,1,12
2023-11-02 01:59:03,hpa-server,2%,30%,1,12
2023-11-02 01:59:06,hpa-server,2%,30%,1,12
2023-11-02 01:59:09,hpa-server,2%,30%,1,12
2023-11-02 01:59:12,hpa-server,2%,30%,1,12
2023-11-02 01:59:15,hpa-server,2%,30%,1,12
2023-11-02 01:59:19,hpa-server,2%,30%,1,12
